Id,Title,Price,User_id,profileName,review/helpfulness,review/score,review/time,review/summary,review/text
B0006CR6U4,"A dictionary of the Targumim, the Talmud Babli and Yerushalmi, and the Midrashic literature",,A303XPDO694V6X,Ariel,2/6,4.0,1122163200,Jastrow,"Jastrow made a great workthis dictionary can help you to learn any aramaic textbut in my case help me a lot to learn the talmud.It is difficult to thread one's way through its massive pages unless assisted by the helpful experts who contrive systematic directives -'who make handles to the Torah'- to meet the varied approaches of those who seek to know its wisdom and doctrine, its laws and its poetry, its folklore and even its apparent trivia. The well-known Midrash comes to mind.King Solomon applied his wisdom and prudence to help students find their way through the intricacies of the Torah.He was like the clever man in the parable of the large palace with many doors where a man would enter, become confused and not find the door by which he entered.The clever man took a clew of rope and suspended it by the door of entry so that it could serve as a guide to all who entered or came out."
0897166159,Espresso Coffee: Professional Techniques,,A3780H4TM9RMB8,David barnes,0/1,2.0,1356912000,NOT the book,Extremely disappointed by the SHORT length and cursory information of this video.The barista knows his stuff. Better buy his book.
0736693408,The First King of Shannara (The Sword of Shannara),,A1AX6VPDQQZDPV,M Carlton,4/4,5.0,1105574400,Great (what do you expect?),"This, like all of Brook's Shannara series books, is wonderful. I am glad that Brooks took the opportunity to write this prequel. It gives the reader a look into the past and into the characters and ancestors that started the story that continues through the Shannara series. The characters are very well developed and rich, without the droning on and on with descriptions that some authors fault. You learn little bits and pieces at a time about the characters and story that continually make you go ""Aha! So that's why....."" Moves along at a great pace and keeps you wondering, but with enough hints that you wait for the characters to find out if what you are anticipating is right! There are also plenty of ""I didn't see that coming"" moments. I recommend the entire SHANNARA SERIES for anybody who is looking for a wonderful fantastical world to read about. However, read this book in the order of publication - don't read it first."
0395051029,Wuthering Heights (Riverside editions),,A35RQKCCCQ62O0,LadyJ,0/0,4.0,1353888000,Satisfied,I enjoyed this classic. I didn't know the story prior to reading it and once I adjusted to the older style prose it was a pleasant read.
4770016050,"A Cat, a Man, and Two Women (Japans Modern Writers)",,A2IJQDE1I4SIJT,"David C. Arnold ""master D""",1/2,5.0,1167955200,"Ordered 09/02/2006, still on backorder","I would love to read this book. Have accepted slip in delivery by Amazon three times. Eventually, when it arrives, I'll read it.(Amazon asked me to review ""this recent purchase"" on 03Jan07 ...)(Amazon, you're great - but track who who ask to review what a bit closer ...)"
B000GP9E9C,More Than Human,,A3P92F9JAZQPIE,"F Funney ""CatMan""",1/2,5.0,1265846400,gestalt!,"bless you! lol... sorry, but you just have to read it for yourself... Freaks will love it and everything by Sturgeon..."
B000N2HCQU,The Checklist: How to Identify True Medical Advice When,,A178LDK1GMX9M6,A. Cacioli,5/6,5.0,1169683200,Well Done!!!!,"Thank you, Dr. Manny. This book was such an interesting and easy read. It's hard to find understandable medical advice, this book is it. Dr. Manny's style is conversational, not mysterious medical mumbo jumbo. It's as if he's giving you a blue print to live by, what to watch out for, and how to use preventive medicine as a tool. Living a healthy lifestyle and staying healthy is easy when you follow Dr. Manny's path. Thanks again to Dr. Manny for such a wonderful guide to living well!!!!"
B0007EW3SG,Black lamb and grey falcon: A journey through Yugoslavia,,,,8/9,5.0,992995200,Great Insight into Balkans,"For anyone living in or traveling to the Balkans, this books is a must read. R. West brings you back to the days before WW2, and her telling of her story brings the people, the area, and the era alive. Its also very interesting to see what was similar back then, compared to now."
0590449729,"Two Crazy Pigs (Hello Reader, Level 2)",3.4,ACUX3DS8PZ1HV,Diane,3/4,5.0,1163203200,"great book for kids, super photos!","I am a teacher and use this book with my English language learners. They love the pictures, and the story line is very easy to understand. It's great for beginners learning to read and to learn about farm animals!"
B000KAHM5Q,Love You Forever,,,,0/1,5.0,948672000,Very sweet childrens book....a true mothers love!!!,"My teacher read this to our 8th grade lit. class. She cried through the book and I wondered why as an 8th grader she was crying from reading a childrens book??? Now that I am grown and a mother of 3 children, I now understand!!!!! Something incredible happened to me---I turned into a mother and now I love this book. Always makes me tear up! My kids love it!!!"
